model,protocol,clean,sigma_0_05,sigma_0_10,sigma_0_20,sigma_0_30,drift_sigma_0_05,evidence,dataset_type,source_pdf,source_pdf_page,source_table
I-JEPA-H/300,Linear probe,0.910,0.641,0.589,0.571,0.553,0.755,paper_reported,aggregate_experimental_results,texjepa-manuscript,8,VII
I-JEPA-H/300,MLP probe,0.927,0.678,0.573,0.582,0.571,,paper_reported,aggregate_experimental_results,texjepa-manuscript,8,VII
I-JEPA-H/300,Partial FT,0.935,0.625,0.587,0.555,0.534,0.780,paper_reported,aggregate_experimental_results,texjepa-manuscript,8,VII
MAE-H/300,Linear probe,0.891,0.777,0.618,0.490,0.485,0.169,paper_reported,aggregate_experimental_results,texjepa-manuscript,8,VII
MAE-H/300,MLP probe,0.925,0.786,0.568,0.471,0.464,,paper_reported,aggregate_experimental_results,texjepa-manuscript,8,VII
MAE-H/300,Partial FT,0.949,0.820,0.588,0.462,0.485,0.689,paper_reported,aggregate_experimental_results,texjepa-manuscript,8,VII
