model,delta_lesion,best_low_noise_auroc,drift_sigma_0_20,interpretation,evidence,dataset_type,source_pdf,source_pdf_page,source_table
v3.1 baseline,0.195,0.643,0.957,Strong lesion sensitivity but fragile at light noise,paper_reported,aggregate_experimental_results,texjepa-manuscript,10,XI
v4 + noise,0.126,0.906,0.489,Balanced improvement from clean-target noise invariance,paper_reported,aggregate_experimental_results,texjepa-manuscript,10,XI
v5 + register,0.177,0.920,0.781,"Best clean/low-noise readout, but cliff at stronger noise",paper_reported,aggregate_experimental_results,texjepa-manuscript,10,XI
v6 + var/cov,0.040,0.906,0.064,"Smoothest feature space, but lesion sensitivity largely lost",paper_reported,aggregate_experimental_results,texjepa-manuscript,10,XI
MAE-H/300,0.039,0.777,0.339,Stable reconstruction baseline with weak lesion-specific readout,paper_reported,aggregate_experimental_results,texjepa-manuscript,10,XI
