figure,pdf_page,metric,model,condition,value,displayed_value,decimal_places,evidence
4,8,cosine_drift,I-JEPA-H/300,noise 0.05,0.76,0.76,2,paper_reported
4,8,cosine_drift,I-JEPA-H/300,noise 0.10,0.9,0.90,2,paper_reported
4,8,cosine_drift,I-JEPA-H/300,noise 0.20,0.87,0.87,2,paper_reported
4,8,cosine_drift,I-JEPA-H/300,noise 0.30,0.82,0.82,2,paper_reported
4,8,cosine_drift,I-JEPA-H/300,blur 0.5,0.02,0.02,2,paper_reported
4,8,cosine_drift,I-JEPA-H/300,blur 1.0,0.18,0.18,2,paper_reported
4,8,cosine_drift,I-JEPA-H/300,blur 2.0,0.33,0.33,2,paper_reported
4,8,cosine_drift,I-JEPA-H/300,blur 3.0,0.44,0.44,2,paper_reported
4,8,cosine_drift,I-JEPA-H/300,bright -0.2,0.06,0.06,2,paper_reported
4,8,cosine_drift,I-JEPA-H/300,bright -0.1,0.02,0.02,2,paper_reported
4,8,cosine_drift,I-JEPA-H/300,bright +0.1,0.03,0.03,2,paper_reported
4,8,cosine_drift,I-JEPA-H/300,bright +0.2,0.14,0.14,2,paper_reported
4,8,cosine_drift,I-JEPA-H/300,contrast 0.5,0.14,0.14,2,paper_reported
4,8,cosine_drift,I-JEPA-H/300,contrast 1.5,0.15,0.15,2,paper_reported
4,8,cosine_drift,MAE-H/300,clean,0.0,0.00,2,paper_reported
4,8,cosine_drift,MAE-H/300,noise 0.05,0.17,0.17,2,paper_reported
4,8,cosine_drift,MAE-H/300,noise 0.10,0.32,0.32,2,paper_reported
4,8,cosine_drift,MAE-H/300,noise 0.20,0.34,0.34,2,paper_reported
4,8,cosine_drift,MAE-H/300,noise 0.30,0.34,0.34,2,paper_reported
4,8,cosine_drift,MAE-H/300,blur 0.5,0.01,0.01,2,paper_reported
4,8,cosine_drift,MAE-H/300,blur 1.0,0.08,0.08,2,paper_reported
4,8,cosine_drift,MAE-H/300,blur 2.0,0.15,0.15,2,paper_reported
4,8,cosine_drift,MAE-H/300,blur 3.0,0.19,0.19,2,paper_reported
4,8,cosine_drift,MAE-H/300,bright -0.2,0.03,0.03,2,paper_reported
4,8,cosine_drift,MAE-H/300,bright -0.1,0.01,0.01,2,paper_reported
4,8,cosine_drift,MAE-H/300,bright +0.1,0.0,0.00,2,paper_reported
4,8,cosine_drift,MAE-H/300,bright +0.2,0.02,0.02,2,paper_reported
4,8,cosine_drift,MAE-H/300,contrast 0.5,0.05,0.05,2,paper_reported
4,8,cosine_drift,MAE-H/300,contrast 1.5,0.02,0.02,2,paper_reported
